feature,importance
uas_dt_s,0.28762472642653203
duplicate_position_flag,0.10426161649085194
trajectory_smoothness,0.075787564867618
uas_speed_mps,0.06981966193215462
speed_variance_w5,0.05842471102568692
tortuosity_w5,0.05107253630531628
uas_3d_speed_mps,0.05061678600264123
straight_line_ratio,0.044624287281927695
uas_step_distance,0.03849623953526268
dist_to_operator,0.036026218438239985
rssi,0.0331278861066134
uas_height,0.028711288115564833
uas_accel_mps2,0.021413334491781354
uas_geoalt,0.019552678900911658
uas_3d_accel_mps2,0.012850244034090052
accel_feasibility_flag,0.012276262760975255
uas_heading_deg,0.012227826072187913
bearing_to_receiver_rate,0.007658017258188823
has_baroalt,0.007403938292311623
altitude_jump_flag,0.006691064175556944
dt_anomaly_flag,0.006366114434431948
speed_feasibility_flag,0.004272591356489412
uas_vertical_speed_mps,0.0034898727233633174
timestamp_seq_flag,0.003028896449410093
bearing_to_operator,0.0016384322824223169
operator_uas_bearing,0.0015323676811636166
uas_vertical_accel_mps2,0.001004836558302606
position_jump_flag,3.416222694383739e-15
